Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPM,4008,4,8,Emu Rock_100,Wheat,175.37,34.5,September,54,53,2.65,2.15
HTPM,3009,3,9,Emu Rock_100,Wheat,260.2,118.9,October,67,70,2.5,2.03
HTPM,4008,4,8,Emu Rock_100,Wheat,196.8,86.1,October,73,66,2.65,2.15
HTPM,2005,2,5,Fathom_105,Barley,40.24,8.03,August,26,23,3.1,2.52
HTPM,5003,5,3,Fathom_105,Barley,55.82,11.94,August,24,22,2.9,2.35
HTPM,2005,2,5,Fathom_105,Barley,137.03,27.1,September,44,39,3.1,2.52
HTPM,5003,5,3,Fathom_105,Barley,188.36,38.1,September,45,49,2.9,2.35
HTPM,2005,2,5,Fathom_105,Barley,295.5,145.4,October,78,76,3.1,2.52
HTPM,5003,5,3,Fathom_105,Barley,326,141.7,October,78,81,2.9,2.35
HTPM,2003,2,3,Flinders_87,Barley,68.77,17.53,August,15,16,2.7,2.19
HTPM,3005,3,5,Flinders_87,Barley,37.82,9.18,August,17,17,2.85,2.31
HTPM,2003,2,3,Flinders_87,Barley,78,16.7,September,26,35,2.7,2.19
HTPM,3005,3,5,Flinders_87,Barley,114.91,24.9,September,34,30,2.85,2.31
HTPM,2003,2,3,Flinders_87,Barley,203.9,80.8,October,67,65,2.7,2.19
HTPM,3005,3,5,Flinders_87,Barley,233.3,100.6,October,66,64,2.85,2.31
HTPM,1003,1,3,IGB1653_95,Barley,59.76,13.37,August,17,15,3.05,2.48
HTPM,5006,5,6,IGB1653_95,Barley,61.13,12.92,August,16,18,3.15,2.56
HTPM,1003,1,3,IGB1653_95,Barley,124.33,25.9,September,27,29,3.05,2.48
HTPM,5006,5,6,IGB1653_95,Barley,152.71,32.9,September,34,30,3.15,2.56
HTPM,1003,1,3,IGB1653_95,Barley,220.2,102.1,October,70,66,3.05,2.48
HTPM,5006,5,6,IGB1653_95,Barley,250.2,95.8,October,63,67,3.15,2.56
HTPM,5004,5,4,IGB1825_92,Barley,53.93,10.69,August,29,30,3.3,2.68
HTPM,6003,6,3,IGB1825_92,Barley,53.04,10.54,August,23,26,2.75,2.23
HTPM,5004,5,4,IGB1825_92,Barley,172.2,34.1,September,55,56,3.3,2.68
HTPM,6003,6,3,IGB1825_92,Barley,145.22,30.6,September,45,43,2.75,2.23
HTPM,5004,5,4,IGB1825_92,Barley,240.7,104.5,October,70,58,3.3,2.68
HTPM,6003,6,3,IGB1825_92,Barley,228.8,112.4,October,63,63,2.75,2.23
HTPM,2001,2,1,IGB1844_92,Barley,60.37,11.65,August,20,23,2.65,2.15
HTPM,6006,6,6,IGB1844_92,Barley,63.01,12.48,August,19,17,3,2.44
HTPM,2001,2,1,IGB1844_92,Barley,78.47,15.5,September,39,40,2.65,2.15
HTPM,6006,6,6,IGB1844_92,Barley,137.61,25.7,September,40,38,3,2.44
HTPM,2001,2,1,IGB1844_92,Barley,219.7,103.8,October,65,60,2.65,2.15
HTPM,6006,6,6,IGB1844_92,Barley,199.3,90.8,October,60,58,3,2.44
HTPM,2004,2,4,IGB1871_102,Barley,54.82,11.59,August,28,27,3.35,2.72
HTPM,4004,4,4,IGB1871_102,Barley,41.45,9.37,August,27,32,3.9,3.17
HTPM,2004,2,4,IGB1871_102,Barley,202.53,42.5,September,51,44,3.35,2.72
HTPM,4004,4,4,IGB1871_102,Barley,115.22,26,September,51,42,3.9,3.17
HTPM,2004,2,4,IGB1871_102,Barley,258.2,129.2,October,77,75,3.35,2.72
HTPM,4004,4,4,IGB1871_102,Barley,370.2,169.1,October,74,68,3.9,3.17
HTPM,3001,3,1,IGB1890_96,Barley,72.36,14.21,August,21,21,2.8,2.27
HTPM,6001,6,1,IGB1890_96,Barley,33.84,7.41,August,17,19,2.05,1.66
HTPM,3001,3,1,IGB1890_96,Barley,131.4,25.7,September,38,45,2.8,2.27
HTPM,6001,6,1,IGB1890_96,Barley,130,28.2,September,25,24,2.05,1.66
HTPM,3001,3,1,IGB1890_96,Barley,304.3,136.4,October,70,55,2.8,2.27
HTPM,6001,6,1,IGB1890_96,Barley,219.4,95.8,October,56,55,2.05,1.66
HTPM,1007,1,7,IGW4341_103,Wheat,42.01,8.86,August,22,26,3.75,3.04
HTPM,3010,3,10,IGW4341_103,Wheat,45.66,9.42,August,25,27,2.9,2.35
HTPM,1007,1,7,IGW4341_103,Wheat,180.98,38.6,September,39,45,3.75,3.04
HTPM,3010,3,10,IGW4341_103,Wheat,141.53,31.4,September,42,38,2.9,2.35
HTPM,1007,1,7,IGW4341_103,Wheat,305.6,133.7,October,68,66,3.75,3.04
HTPM,3010,3,10,IGW4341_103,Wheat,242,97.4,October,60,65,2.9,2.35
HTPM,1012,1,12,IGW6482_99,Wheat,67.09,12.59,August,28,28,3.75,3.04
HTPM,5009,5,9,IGW6482_99,Wheat,66.1,13.14,August,28,31,2.8,2.27
HTPM,1012,1,12,IGW6482_99,Wheat,246.6,50.8,September,50,43,3.75,3.04
HTPM,5009,5,9,IGW6482_99,Wheat,144.76,31.4,September,52,43,2.8,2.27
HTPM,1012,1,12,IGW6482_99,Wheat,360,161,October,74,66,3.75,3.04
HTPM,5009,5,9,IGW6482_99,Wheat,332.6,144.3,October,67,62,2.8,2.27
HTPM,5010,5,10,IGW6488_107,Wheat,28.58,6.14,August,23,22,2.55,2.07
HTPM,6009,6,9,IGW6488_107,Wheat,52.06,10.6,August,27,29,2.85,2.31
HTPM,5010,5,10,IGW6488_107,Wheat,107.46,22,September,45,39,2.55,2.07
HTPM,6009,6,9,IGW6488_107,Wheat,69.5,15.6,September,38,42,2.85,2.31
HTPM,5010,5,10,IGW6488_107,Wheat,258.7,98.7,October,54,57,2.55,2.07
HTPM,6009,6,9,IGW6488_107,Wheat,425.9,178.8,October,55,65,2.85,2.31
HTPM,2007,2,7,IGW6497_91,Wheat,72.08,14.58,August,30,29,2.9,2.35
HTPM,4009,4,9,IGW6497_91,Wheat,45.94,10.1,August,29,27,2.4,1.95
HTPM,2007,2,7,IGW6497_91,Wheat,123.01,26.2,September,36,40,2.9,2.35
HTPM,4009,4,9,IGW6497_91,Wheat,66.31,15.6,September,28,29,2.4,1.95
HTPM,2007,2,7,IGW6497_91,Wheat,235.2,110.3,October,75,80,2.9,2.35
HTPM,4009,4,9,IGW6497_91,Wheat,295.1,126.4,October,75,76,2.4,1.95
HTPM,2009,2,9,IGW6522_99,Wheat,68.98,14.7,August,28,32,3.1,2.52
HTPM,2010,2,10,IGW6522_99,Wheat,38.51,7.44,August,28,24,2.8,2.27
HTPM,2009,2,9,IGW6522_99,Wheat,147.7,30.3,September,47,44,3.1,2.52
HTPM,2010,2,10,IGW6522_99,Wheat,116.9,24.4,September,50,47,2.8,2.27
HTPM,2009,2,9,IGW6522_99,Wheat,247.3,113.9,October,71,71,3.1,2.52
HTPM,2010,2,10,IGW6522_99,Wheat,372.4,169.7,October,76,75,2.8,2.27
HTPM,5007,5,7,IGW6527_109,Wheat,33.42,6.81,August,30,28,3.1,2.52
HTPM,6007,6,7,IGW6527_109,Wheat,36.94,7.58,August,27,28,2.95,2.39
HTPM,5007,5,7,IGW6527_109,Wheat,149.97,32.3,September,40,37,3.1,2.52
HTPM,6007,6,7,IGW6527_109,Wheat,131.46,27.1,September,51,47,2.95,2.39
HTPM,5007,5,7,IGW6527_109,Wheat,188.3,87.2,October,75,70,3.1,2.52
HTPM,6007,6,7,IGW6527_109,Wheat,256.4,110.8,October,72,70,2.95,2.39
HTPM,4010,4,10,IGW6539_108,Wheat,36.41,7.42,August,31,26,2.75,2.23
HTPM,5008,5,8,IGW6539_108,Wheat,30.27,7.21,August,30,34,2.75,2.23
HTPM,4010,4,10,IGW6539_108,Wheat,100.89,20.7,September,43,49,2.75,2.23
HTPM,5008,5,8,IGW6539_108,Wheat,171.09,37,September,52,52,2.75,2.23
HTPM,4010,4,10,IGW6539_108,Wheat,355.9,155.9,October,68,67,2.75,2.23
HTPM,5008,5,8,IGW6539_108,Wheat,370.01,158.7,October,72,72,2.75,2.23
HTPM,5011,5,11,IGW6567_90,Wheat,38.28,7.77,August,22,23,3.05,2.48
HTPM,6011,6,11,IGW6567_90,Wheat,38.12,7.87,August,29,27,2.9,2.35
HTPM,5011,5,11,IGW6567_90,Wheat,129.69,27.8,September,46,47,3.05,2.48
HTPM,6011,6,11,IGW6567_90,Wheat,105.1,21.9,September,44,49,2.9,2.35
HTPM,5011,5,11,IGW6567_90,Wheat,338.9,149.4,October,72,75,3.05,2.48
HTPM,6011,6,11,IGW6567_90,Wheat,373.4,163.3,October,67,70,2.9,2.35
HTPM,3008,3,8,IGW6576_106,Wheat,47.7,9.99,August,25,26,2.2,1.79
HTPM,3011,3,11,IGW6576_106,Wheat,42.92,8.78,August,29,28,2.55,2.07
HTPM,3008,3,8,IGW6576_106,Wheat,92.55,20.9,September,51,44,2.2,1.79
HTPM,3011,3,11,IGW6576_106,Wheat,137.99,28.8,September,39,37,2.55,2.07
HTPM,3008,3,8,IGW6576_106,Wheat,297.6,120.2,October,80,81,2.2,1.79
HTPM,3011,3,11,IGW6576_106,Wheat,302.4,131,October,76,85,2.55,2.07
HTPM,1011,1,11,IGW6580_98,Wheat,34.13,7.04,August,27,31,3.7,3
